File;TP;FP;FN;Precision;Recall;F1
p005_c1;31;3;17;0.9117647058823529;0.6458333333333334;0.7560975609756098
p005_c2;15;1;32;0.9375;0.3191489361702128;0.4761904761904763
p006_c1;18;7;18;0.72;0.5;0.5901639344262295
p006_c2;13;2;47;0.8666666666666667;0.21666666666666667;0.3466666666666666
p007_c1;23;4;15;0.8518518518518519;0.6052631578947368;0.7076923076923076
p008_c1;27;4;14;0.8709677419354839;0.6585365853658537;0.75
p009_c1;12;2;37;0.8571428571428571;0.24489795918367346;0.38095238095238093
p010_c1;12;0;11;1.0;0.5217391304347826;0.6857142857142856
p011_c1;26;0;3;1.0;0.896551724137931;0.9454545454545454
p011_c2;50;2;5;0.9615384615384616;0.9090909090909091;0.9345794392523366
p012_c1;17;3;8;0.85;0.68;0.7555555555555556
p012_c2;2;0;31;1.0;0.06060606060606061;0.1142857142857143
p013_c1;9;5;28;0.6428571428571429;0.24324324324324326;0.35294117647058826
p014_c1;19;1;21;0.95;0.475;0.6333333333333334
p015_c1;34;2;20;0.9444444444444444;0.6296296296296297;0.7555555555555556
p016_c1;2;0;35;1.0;0.05405405405405406;0.10256410256410257
p016_c2;0;0;23;0;0.0;0
p017_c1;17;6;35;0.7391304347826086;0.3269230769230769;0.4533333333333333
p017_c2;14;0;0;1.0;1.0;1.0
p018_c1;37;0;29;1.0;0.5606060606060606;0.7184466019417475
p018_c2;1;0;11;1.0;0.08333333333333333;0.15384615384615385
p019_c1;24;1;26;0.96;0.48;0.64
p019_c2;0;1;17;0.0;0.0;0
p020_c1;24;1;28;0.96;0.46153846153846156;0.6233766233766234
p021_c1;34;0;28;1.0;0.5483870967741935;0.7083333333333333
p021_c2;7;0;28;1.0;0.2;0.33333333333333337
p022_c1;3;0;76;1.0;0.0379746835443038;0.07317073170731708
p023_c1;27;2;14;0.9310344827586207;0.6585365853658537;0.7714285714285715
p024_c1;47;4;40;0.9215686274509803;0.5402298850574713;0.6811594202898551
p024_c2;0;0;73;0;0.0;0
p025_c1;46;0;59;1.0;0.4380952380952381;0.609271523178808
p026_c1;36;2;10;0.9473684210526315;0.782608695652174;0.8571428571428571
p026_c2;14;0;22;1.0;0.3888888888888889;0.56
p026_c3;36;1;19;0.972972972972973;0.6545454545454545;0.782608695652174
p027_c1;10;2;7;0.8333333333333334;0.5882352941176471;0.6896551724137931
p027_c2;14;0;8;1.0;0.6363636363636364;0.7777777777777778
p027_c3;24;0;3;1.0;0.8888888888888888;0.9411764705882353
p028_c1;10;3;5;0.7692307692307693;0.6666666666666666;0.7142857142857142
p028_c2;12;1;6;0.9230769230769231;0.6666666666666666;0.7741935483870968
p029_c1;19;4;25;0.8260869565217391;0.4318181818181818;0.5671641791044776
p030_c1;38;2;39;0.95;0.4935064935064935;0.6495726495726496
p031_c1;15;1;78;0.9375;0.16129032258064516;0.27522935779816515
p033_c1;12;2;53;0.8571428571428571;0.18461538461538463;0.3037974683544304
p034_c1;11;4;18;0.7333333333333333;0.3793103448275862;0.5
p034_c2;12;2;10;0.8571428571428571;0.5454545454545454;0.6666666666666665
p034_c3;9;9;13;0.5;0.4090909090909091;0.45
p035_c1;16;6;12;0.7272727272727273;0.5714285714285714;0.64
p035_c2;19;3;24;0.8636363636363636;0.4418604651162791;0.5846153846153846
p036_c1;15;2;57;0.8823529411764706;0.20833333333333334;0.3370786516853933
p036_c2;2;0;11;1.0;0.15384615384615385;0.2666666666666667
p037_c1;29;4;37;0.8787878787878788;0.4393939393939394;0.5858585858585859
p037_c2;13;0;22;1.0;0.37142857142857144;0.5416666666666666
p038_c1;15;24;9;0.38461538461538464;0.625;0.4761904761904762
p039_c1;0;1;67;0.0;0.0;0
p040_c1;17;3;51;0.85;0.25;0.3863636363636363
p042_c1;34;7;7;0.8292682926829268;0.8292682926829268;0.8292682926829268
p042_c2;5;5;7;0.5;0.4166666666666667;0.45454545454545453
p043_c1;44;8;42;0.8461538461538461;0.5116279069767442;0.6376811594202898
p044_c1;45;9;18;0.8333333333333334;0.7142857142857143;0.7692307692307692
p045_c1;26;1;29;0.9629629629629629;0.4727272727272727;0.6341463414634146
p045_c2;33;1;20;0.9705882352941176;0.6226415094339622;0.7586206896551724
p045_c3;16;0;34;1.0;0.32;0.48484848484848486
p046_c1;21;10;22;0.6774193548387096;0.4883720930232558;0.5675675675675677
p047_c1;2;0;46;1.0;0.041666666666666664;0.07999999999999999
p047_c2;4;2;33;0.6666666666666666;0.10810810810810811;0.18604651162790697
p048_c1;10;1;82;0.9090909090909091;0.10869565217391304;0.19417475728155342
p050_c1;35;3;13;0.9210526315789473;0.7291666666666666;0.8139534883720931
p051_c1;10;5;29;0.6666666666666666;0.2564102564102564;0.37037037037037035
p051_c2;2;1;39;0.6666666666666666;0.04878048780487805;0.0909090909090909
p052_c1;21;1;25;0.9545454545454546;0.45652173913043476;0.6176470588235293
p052_c2;15;0;30;1.0;0.3333333333333333;0.5
p053_c1;3;0;71;1.0;0.04054054054054054;0.07792207792207792
p054_c1;32;2;12;0.9411764705882353;0.7272727272727273;0.8205128205128205
p054_c2;27;0;32;1.0;0.4576271186440678;0.627906976744186
p055_c1;28;2;29;0.9333333333333333;0.49122807017543857;0.6436781609195402
p055_c2;27;7;27;0.7941176470588235;0.5;0.6136363636363636
p056_c1;4;1;57;0.8;0.06557377049180328;0.12121212121212123
p056_c2;44;2;7;0.9565217391304348;0.8627450980392157;0.9072164948453608
p057_c1;10;2;100;0.8333333333333334;0.09090909090909091;0.16393442622950818
p057_c2;27;1;71;0.9642857142857143;0.2755102040816326;0.4285714285714285
p057_c3;12;0;26;1.0;0.3157894736842105;0.4799999999999999
p058_c1;42;3;21;0.9333333333333333;0.6666666666666666;0.7777777777777778
p059_c1;12;1;57;0.9230769230769231;0.17391304347826086;0.2926829268292683
p060_c1;5;0;78;1.0;0.060240963855421686;0.11363636363636363
p060_c2;15;2;18;0.8823529411764706;0.45454545454545453;0.6
p060_c3;24;11;10;0.6857142857142857;0.7058823529411765;0.6956521739130436
p061_c1;22;0;16;1.0;0.5789473684210527;0.7333333333333334
p061_c2;19;0;13;1.0;0.59375;0.7450980392156863
p061_c3;27;0;57;1.0;0.32142857142857145;0.4864864864864865
p062_c1;41;0;28;1.0;0.5942028985507246;0.7454545454545455
p062_c2;14;2;27;0.875;0.34146341463414637;0.4912280701754386
p064_c1;17;3;7;0.85;0.7083333333333334;0.7727272727272727
p064_c2;22;2;15;0.9166666666666666;0.5945945945945946;0.7213114754098361
p065_c1;18;2;25;0.9;0.4186046511627907;0.5714285714285715
p065_c2;3;2;15;0.6;0.16666666666666666;0.2608695652173913
p066_c1;20;1;39;0.9523809523809523;0.3389830508474576;0.5
p066_c2;2;0;33;1.0;0.05714285714285714;0.1081081081081081
p066_c3;26;4;1;0.8666666666666667;0.9629629629629629;0.912280701754386
p067_c1;24;0;52;1.0;0.3157894736842105;0.4799999999999999
p067_c2;41;3;28;0.9318181818181818;0.5942028985507246;0.7256637168141593
p068_c1;40;6;15;0.8695652173913043;0.7272727272727273;0.792079207920792
p068_c2;8;0;3;1.0;0.7272727272727273;0.8421052631578948
p069_c1;12;3;11;0.8;0.5217391304347826;0.6315789473684211
p069_c2;4;2;19;0.6666666666666666;0.17391304347826086;0.27586206896551724
p069_c3;15;8;10;0.6521739130434783;0.6;0.6250000000000001
p069_c4;6;1;32;0.8571428571428571;0.15789473684210525;0.26666666666666666
p070_c1;4;1;36;0.8;0.1;0.1777777777777778
p070_c2;11;0;24;1.0;0.3142857142857143;0.4782608695652174
p070_c3;9;2;7;0.8181818181818182;0.5625;0.6666666666666666
p071_c1;26;5;28;0.8387096774193549;0.48148148148148145;0.6117647058823529
p071_c2;3;0;7;1.0;0.3;0.4615384615384615
p072_c1;45;0;30;1.0;0.6;0.7499999999999999
p074_c1;12;0;25;1.0;0.32432432432432434;0.489795918367347
p074_c2;0;0;23;0;0.0;0
p075_c1;40;6;19;0.8695652173913043;0.6779661016949152;0.7619047619047619
p077_c1;32;0;21;1.0;0.6037735849056604;0.7529411764705882
p077_c2;0;3;23;0.0;0.0;0
p077_c3;5;5;25;0.5;0.16666666666666666;0.25
p078_c1;49;3;19;0.9423076923076923;0.7205882352941176;0.8166666666666668
p078_c2;13;2;14;0.8666666666666667;0.48148148148148145;0.6190476190476191
p079_c1;36;1;13;0.972972972972973;0.7346938775510204;0.8372093023255813
p079_c2;7;1;9;0.875;0.4375;0.5833333333333334
p080_c1;45;0;41;1.0;0.5232558139534884;0.6870229007633588
p080_c2;9;0;4;1.0;0.6923076923076923;0.8181818181818181
p081_c1;8;1;73;0.8888888888888888;0.09876543209876543;0.17777777777777778
p082_c1;10;1;35;0.9090909090909091;0.2222222222222222;0.3571428571428571
p082_c2;1;1;35;0.5;0.027777777777777776;0.05263157894736842
p083_c1;20;1;94;0.9523809523809523;0.17543859649122806;0.29629629629629634
p083_c2;7;0;11;1.0;0.3888888888888889;0.56
p084_c1;39;1;13;0.975;0.75;0.8478260869565216
p084_c2;19;3;13;0.8636363636363636;0.59375;0.7037037037037037
p085_c1;12;2;34;0.8571428571428571;0.2608695652173913;0.4
p086_c1;23;5;61;0.8214285714285714;0.27380952380952384;0.4107142857142857
p087_c1;21;1;14;0.9545454545454546;0.6;0.7368421052631579
p087_c2;5;0;18;1.0;0.21739130434782608;0.3571428571428571
p088_c1;24;1;8;0.96;0.75;0.8421052631578947
p088_c2;24;3;10;0.8888888888888888;0.7058823529411765;0.7868852459016393
p089_c1;51;10;20;0.8360655737704918;0.7183098591549296;0.7727272727272727
p090_c1;2;0;44;1.0;0.043478260869565216;0.08333333333333333
p090_c2;7;0;27;1.0;0.20588235294117646;0.34146341463414637
p091_c1;29;3;20;0.90625;0.5918367346938775;0.7160493827160493
p092_c1;22;2;11;0.9166666666666666;0.6666666666666666;0.7719298245614035
p093_c1;7;1;39;0.875;0.15217391304347827;0.2592592592592593
p093_c2;12;0;9;1.0;0.5714285714285714;0.7272727272727273
p095_c1;4;1;42;0.8;0.08695652173913043;0.1568627450980392
p096_c1;25;12;27;0.6756756756756757;0.4807692307692308;0.5617977528089887
p098_c1;35;5;24;0.875;0.5932203389830508;0.707070707070707
p098_c2;12;0;10;1.0;0.5454545454545454;0.7058823529411764
p099_c1;55;8;24;0.873015873015873;0.6962025316455697;0.7746478873239436
p099_c2;20;2;19;0.9090909090909091;0.5128205128205128;0.6557377049180326
p100_c1;30;4;25;0.8823529411764706;0.5454545454545454;0.6741573033707865
p101_c1;19;1;45;0.95;0.296875;0.45238095238095244
p101_c2;0;0;35;0;0.0;0
p102_c1;8;1;51;0.8888888888888888;0.13559322033898305;0.2352941176470588
p102_c2;10;7;8;0.5882352941176471;0.5555555555555556;0.5714285714285715
p103_c1;15;3;26;0.8333333333333334;0.36585365853658536;0.5084745762711864
p103_c2;44;5;55;0.8979591836734694;0.4444444444444444;0.5945945945945946
p104_c1;33;1;44;0.9705882352941176;0.42857142857142855;0.5945945945945946
p105_c1;24;4;73;0.8571428571428571;0.24742268041237114;0.38399999999999995
p106_c1;40;2;25;0.9523809523809523;0.6153846153846154;0.7476635514018692
p107_c1;2;0;56;1.0;0.034482758620689655;0.06666666666666667
p107_c2;3;0;24;1.0;0.1111111111111111;0.19999999999999998
p108_c1;2;1;37;0.6666666666666666;0.05128205128205128;0.09523809523809523
p108_c2;11;1;28;0.9166666666666666;0.28205128205128205;0.4313725490196078
p109_c1;42;9;14;0.8235294117647058;0.75;0.7850467289719627
p109_c2;42;5;16;0.8936170212765957;0.7241379310344828;0.7999999999999999
p110_c1;19;17;67;0.5277777777777778;0.22093023255813954;0.3114754098360656
p111_c1;19;2;36;0.9047619047619048;0.34545454545454546;0.5
p111_c2;21;3;5;0.875;0.8076923076923077;0.8400000000000001
p111_c3;14;2;8;0.875;0.6363636363636364;0.7368421052631579
p113_c1;19;2;23;0.9047619047619048;0.4523809523809524;0.6031746031746031
p113_c2;30;3;7;0.9090909090909091;0.8108108108108109;0.8571428571428571
p114_c1;14;3;17;0.8235294117647058;0.45161290322580644;0.5833333333333333
p114_c2;20;4;7;0.8333333333333334;0.7407407407407407;0.7843137254901961
p115_c1;11;1;37;0.9166666666666666;0.22916666666666666;0.36666666666666664
p115_c2;1;0;39;1.0;0.025;0.04878048780487806
p115_c3;4;0;32;1.0;0.1111111111111111;0.19999999999999998
p116_c1;19;0;39;1.0;0.3275862068965517;0.49350649350649356
p116_c2;4;1;10;0.8;0.2857142857142857;0.4210526315789473
p116_c3;1;0;18;1.0;0.05263157894736842;0.1
p117_c1;13;1;8;0.9285714285714286;0.6190476190476191;0.742857142857143
p117_c2;13;2;7;0.8666666666666667;0.65;0.7428571428571429
p117_c3;13;0;9;1.0;0.5909090909090909;0.7428571428571429
p117_c4;0;1;19;0.0;0.0;0
p118_c1;30;4;24;0.8823529411764706;0.5555555555555556;0.6818181818181819
p118_c2;7;1;8;0.875;0.4666666666666667;0.608695652173913
p119_c1;24;1;26;0.96;0.48;0.64
p119_c2;19;2;21;0.9047619047619048;0.475;0.6229508196721311
p120_c1;20;2;12;0.9090909090909091;0.625;0.7407407407407406
p120_c2;49;4;22;0.9245283018867925;0.6901408450704225;0.7903225806451613
p121_c1;61;11;14;0.8472222222222222;0.8133333333333334;0.8299319727891157
p121_c2;0;0;40;0;0.0;0
p122_c1;32;3;21;0.9142857142857143;0.6037735849056604;0.7272727272727272
p122_c2;1;0;20;1.0;0.047619047619047616;0.0909090909090909
p123_c1;21;1;23;0.9545454545454546;0.4772727272727273;0.6363636363636365
p123_c2;24;2;9;0.9230769230769231;0.7272727272727273;0.8135593220338984
p125_c1;36;2;27;0.9473684210526315;0.5714285714285714;0.7128712871287128
p125_c2;27;7;35;0.7941176470588235;0.43548387096774194;0.5625
p129_c1;32;3;33;0.9142857142857143;0.49230769230769234;0.64
p129_c2;8;0;32;1.0;0.2;0.33333333333333337
p130_c1;52;5;17;0.9122807017543859;0.7536231884057971;0.8253968253968254
p131_c1;47;2;29;0.9591836734693877;0.618421052631579;0.752
p132_c1;6;0;47;1.0;0.11320754716981132;0.2033898305084746
p132_c2;40;4;12;0.9090909090909091;0.7692307692307693;0.8333333333333333
p133_c1;33;1;20;0.9705882352941176;0.6226415094339622;0.7586206896551724
p134_c1;7;1;9;0.875;0.4375;0.5833333333333334
p134_c2;3;3;20;0.5;0.13043478260869565;0.20689655172413793
p134_c3;0;1;31;0.0;0.0;0
p136_c1;12;7;101;0.631578947368421;0.10619469026548672;0.18181818181818182
p137_c1;28;2;29;0.9333333333333333;0.49122807017543857;0.6436781609195402
p137_c2;18;0;14;1.0;0.5625;0.72
p138_c1;23;1;23;0.9583333333333334;0.5;0.6571428571428571
p139_c1;9;6;23;0.6;0.28125;0.3829787234042553
p140_c1;2;2;38;0.5;0.05;0.09090909090909091
p142_c1;6;0;15;1.0;0.2857142857142857;0.4444444444444445
p142_c2;1;3;30;0.25;0.03225806451612903;0.05714285714285715
p143_c1;12;0;25;1.0;0.32432432432432434;0.489795918367347
p143_c2;16;2;2;0.8888888888888888;0.8888888888888888;0.8888888888888888
p144_c1;36;8;33;0.8181818181818182;0.5217391304347826;0.6371681415929203
p144_c2;8;1;4;0.8888888888888888;0.6666666666666666;0.761904761904762
p145_c1;17;13;15;0.5666666666666667;0.53125;0.5483870967741935
p146_c1;16;2;51;0.8888888888888888;0.23880597014925373;0.3764705882352941
p146_c2;12;0;5;1.0;0.7058823529411765;0.8275862068965517
p146_c3;28;4;6;0.875;0.8235294117647058;0.8484848484848485
p148_c1;12;2;25;0.8571428571428571;0.32432432432432434;0.4705882352941177
p148_c2;33;12;7;0.7333333333333333;0.825;0.776470588235294
p150_c1;8;2;42;0.8;0.16;0.26666666666666666
p150_c2;12;1;27;0.9230769230769231;0.3076923076923077;0.4615384615384615
p151_c1;1;2;40;0.3333333333333333;0.024390243902439025;0.04545454545454545
p151_c2;43;2;10;0.9555555555555556;0.8113207547169812;0.8775510204081634
p153_c1;48;4;20;0.9230769230769231;0.7058823529411765;0.8000000000000002
p154_c1;18;2;49;0.9;0.26865671641791045;0.41379310344827586
p157_c1;2;1;44;0.6666666666666666;0.043478260869565216;0.08163265306122448
p157_c2;20;10;27;0.6666666666666666;0.425531914893617;0.5194805194805194
p158_c1;25;10;37;0.7142857142857143;0.4032258064516129;0.5154639175257731
p158_c2;2;0;15;1.0;0.11764705882352941;0.21052631578947367
p159_c1;29;4;43;0.8787878787878788;0.4027777777777778;0.5523809523809524
p160_c1;19;3;26;0.8636363636363636;0.4222222222222222;0.5671641791044777
p160_c2;34;0;1;1.0;0.9714285714285714;0.9855072463768115
p161_c1;1;1;111;0.5;0.008928571428571428;0.017543859649122806
p161_c2;4;4;25;0.5;0.13793103448275862;0.2162162162162162
p162_c1;59;4;78;0.9365079365079365;0.4306569343065693;0.59
p164_c1;6;0;39;1.0;0.13333333333333333;0.23529411764705882
p165_c1;15;5;39;0.75;0.2777777777777778;0.4054054054054055
p165_c2;2;0;54;1.0;0.03571428571428571;0.0689655172413793
p166_c1;25;2;21;0.9259259259259259;0.5434782608695652;0.6849315068493151
p166_c2;2;2;24;0.5;0.07692307692307693;0.13333333333333336
p169_c1;9;0;34;1.0;0.20930232558139536;0.3461538461538462
p169_c2;15;0;22;1.0;0.40540540540540543;0.5769230769230769
p170_c1;8;2;28;0.8;0.2222222222222222;0.3478260869565218
p171_c1;42;25;19;0.6268656716417911;0.6885245901639344;0.6562500000000001
p171_c2;1;0;8;1.0;0.1111111111111111;0.19999999999999998
p172_c1;34;7;39;0.8292682926829268;0.4657534246575342;0.5964912280701754
p172_c2;19;3;10;0.8636363636363636;0.6551724137931034;0.7450980392156864
p173_c1;1;1;66;0.5;0.014925373134328358;0.02898550724637681
p173_c2;14;3;8;0.8235294117647058;0.6363636363636364;0.717948717948718
p174_c1;34;6;14;0.85;0.7083333333333334;0.7727272727272727
p174_c2;14;4;17;0.7777777777777778;0.45161290322580644;0.5714285714285714
p174_c3;15;1;10;0.9375;0.6;0.7317073170731707
p175_c1;39;2;14;0.9512195121951219;0.7358490566037735;0.8297872340425531
